code : coding = dance : dancing -> ['dance', 'breakdancing', 'dancing', 'breakdance', 'choreography']
code : coding = debug : debugging -> ['debug', 'post-processing', 'troubleshoot', 'coding', 'debugging']
code : coding = decrease : decreasing -> ['decrease', 'increase', 'increases', 'decreasing', 'decreases']
code : coding = describe : describing -> ['describe', 'characterize', 'elucidate', 'visualize', 'visualise']
code : coding = discover : discovering -> ['discover', 'uncover', 'dissect', 'discovering', 'deduce']
code : coding = enhance : enhancing -> ['enhance', 'improve', 'amplify', 'sharpen', 'optimise']
code : coding = fly : flying -> ['fly', 'flies', 'gnaw', 'respire', 'extrude']
code : coding = generate : generating -> ['generate', 'produce', 'amplify', 'synthesise', 'localize']
code : coding = go : going -> ['go', 'gone', 'went', 'goes', 'going']
code : coding = implement : implementing -> ['implement', 'formulate', 'conceptualize', 'coding', 'fine-tune']
code : coding = increase : increasing -> ['increase', 'decrease', 'increases', 'overestimate', 'decreasing']
code : coding = invent : inventing -> ['invent', 'conceptualize', 'devise', 'formulate', 'visualise']
code : coding = jump : jumping -> ['jump', 'jumps', 'coding', 'jumping', 'sprinting']
code : coding = listen : listening -> ['listen', 'notate', 'overreact', 'enunciate', 'berate']
code : coding = look : looking -> ['look', 'looked', 'looks', 'looking', 'coding']
code : coding = move : moving -> ['move', 'moves', 'moving', 'rearrange', 'unwind']
code : coding = play : playing -> ['play', 'playing', 'coding', 'plays', 'lip-sync']
code : coding = predict : predicting -> ['predict', 'quantify', 'visualize', 'analyze', 'visualise']
code : coding = read : reading -> ['read', 'enunciate', 're-read', 'proofread', 'reread']
code : coding = run : running -> ['run', 'running', 'runs', 'coding', 'slogging']
code : coding = say : saying -> ['say', 'theorise', 'surmise', 'enunciate', 'speculate']
code : coding = scream : screaming -> ['scream', 'shriek', 'squeal', 'whine', 'kick-ass']
code : coding = see : seeing -> ['see', 'visualise', 'notate', 'enunciate', 'elucidate']
code : coding = shuffle : shuffling -> ['shuffle', 'shuffles', 'shuffling', 'coding', 'strumming']
code : coding = sing : singing -> ['sing', 'singing', 'improvise', 'rehearse', 'sang']
code : coding = sit : sitting -> ['sit', 'kneel', 'sat', 'socialize', 'urinate']
code : coding = slow : slowing -> ['slow', 'slower', 'sluggish', 'plodding', 'slowing']
code : coding = swim : swimming -> ['swim', 'paddling', 'swims', 'swimming', 'sprinting']
code : coding = think : thinking -> ['think', 'belive', 'beleive', 'daresay', 'remeber']
code : coding = vanish : vanishing -> ['vanish', 'disappear', 'regress', 'unwind', 'decompose']
code : coding = walk : walking -> ['walk', 'walking', 'lip-sync', 'stroll', 'scurrying']
code : coding = write : writing -> ['write', 'writing', 'compose', 'notate', 'enunciate']
dance : dancing = debug : debugging -> ['debug', 'debugging', 'pre-configured', 'scriptable', 'vbscript']
dance : dancing = decrease : decreasing -> ['decrease', 'increase', 'decreasing', 'decreased', 'increases']
dance : dancing = describe : describing -> ['describe', 'portray', 'characterize', 'characterise', 'define']
dance : dancing = discover : discovering -> ['discover', 'uncover', 'discovers', 'discovering', 'realize']
dance : dancing = enhance : enhancing -> ['enhance', 'enhancing', 'improve', 'maximize', 'maximise']
dance : dancing = fly : flying -> ['fly', 'flies', 'frolicking', 'hovering', 'scurrying']
dance : dancing = generate : generating -> ['generate', 'generating', 'generates', 'produce', 'generated']
dance : dancing = go : going -> ['go', 'gone', 'going', 'goes', 'hurrying']
dance : dancing = implement : implementing -> ['implement', 'enforce', 'implementing', 'institutionalize', 'harmonise']
dance : dancing = increase : increasing -> ['increase', 'decrease', 'increases', 'increased', 'decreasing']
dance : dancing = invent : inventing -> ['invent', 'inventing', 'engrave', 'concoct', 'imbue']
dance : dancing = jump : jumping -> ['jump', 'jumping', 'jumps', 'leaping', 'sprinting']
dance : dancing = listen : listening -> ['listen', 'berate', 'masturbate', 'circumcise', 'chide']
dance : dancing = look : looking -> ['look', 'looked', 'looking', 'looks', 'gazing']
dance : dancing = move : moving -> ['move', 'moving', 'moves', 'scurrying', 'gravitate']
