dancing : danced = decreasing : decreased -> ['decreasing', 'decreases', 'decreased', 'increasing', 'lessened']
dancing : danced = describing : described -> ['describing', 'describes', 'recounted', 'characterizing', 'explaining']
dancing : danced = enhancing : enhanced -> ['enhancing', 'improving', 'enhance', 'strengthening', 'improves']
dancing : danced = falling : fell -> ['falling', 'fell', 'tumbled', 'slid', 'reeled']
dancing : danced = feeding : fed -> ['feeding', 'forages', 'feed', 'roosting', 'roosts']
dancing : danced = flying : flew -> ['flying', 'flew', 'flown', 'b-17', 'piloted']
dancing : danced = generating : generated -> ['generating', 'generate', 'generates', 'generated', 'coal-fired']
dancing : danced = going : went -> ['going', 'gone', 'went', 'danced', 'trotted']
dancing : danced = hiding : hid -> ['hiding', 'barged', 'hid', 're-settled', 'reveled']
dancing : danced = hitting : hit -> ['hitting', 'hit', 'homered', 'fouled', 'slugged']
dancing : danced = implementing : implemented -> ['implementing', 'implemented', 'formulating', 'implement', 'deploying']
dancing : danced = increasing : increased -> ['increasing', 'increased', 'decreasing', 'lessened', 'ever-increasing']
dancing : danced = jumping : jumped -> ['jumping', 'danced', 'skied', 'swum', 'skated']
dancing : danced = knowing : knew -> ['knowing', 'realizing', 'knew', 'knows', 'realising']
dancing : danced = listening : listened -> ['listening', 'listened', 'danced', 'listen', 'listens']
dancing : danced = looking : looked -> ['looking', 'looked', 'look', 'shopped', 'lunged']
dancing : danced = moving : moved -> ['moving', 'moved', 'move', 'relocating', 'journeying']
dancing : danced = paying : paid -> ['paying', 'paid', 'pay', 'payed', 'pays']
dancing : danced = playing : played -> ['played', 'playing', 'danced', 'plays', 'play']
dancing : danced = predicting : predicted -> ['predicting', 'predicted', 'predict', 'estimating', 'pinpointed']
dancing : danced = reading : read -> ['reading', 'read', 'recited', 'memorised', 'memorized']
dancing : danced = running : ran -> ['running', 'ran', 'run', 'cycled', 'coasted']
dancing : danced = saying : said -> ['saying', 'stating', 'retorted', 'insinuated', 'said']
dancing : danced = screaming : screamed -> ['screaming', 'screamed', 'danced', 'cried', 'howled']
dancing : danced = seeing : saw -> ['seeing', 'beheld', 'realizing', 'intimated', 'realising']
dancing : danced = selling : sold -> ['selling', 'sold', 'sell', 'retailed', 'shipped']
dancing : danced = shrinking : shrank -> ['shrinking', 'shrinks', 'shrunk', 'regressed', 'shrank']
dancing : danced = singing : sang -> ['danced', 'sang', 'singing', 'sings', 'sung']
dancing : danced = sitting : sat -> ['sitting', 'danced', 'seated', 'sit', 'sat']
dancing : danced = sleeping : slept -> ['sleeping', 'slept', 'danced', 'sleeps', 'huddled']
dancing : danced = slowing : slowed -> ['slowing', 'slowed', 'quieted', 'slows', 'whittled']
dancing : danced = spending : spent -> ['spending', 'spent', 'spend', 'played', 'devoting']
dancing : danced = striking : struck -> ['striking', 'struck', 'danced', 'fouled', 'leant']
dancing : danced = swimming : swam -> ['swimming', 'danced', 'swam', 'swum', 'medaled']
dancing : danced = taking : took -> ['taking', 'taken', 'take', 'took', 'danced']
dancing : danced = thinking : thought -> ['thinking', 'insinuated', 'grumbled', 'reveled', 'thought']
dancing : danced = vanishing : vanished -> ['vanishing', 'vanishes', 'transposed', 'danced', 'vanish']
dancing : danced = walking : walked -> ['walking', 'danced', 'walked', 'strolled', 'cycled']
dancing : danced = writing : wrote -> ['writing', 'wrote', 'writes', 'write', 'written']
